0,1,2
"Doctors refer to the various conditions that cause an infection or inflammation of the vagina as ""vaginitis."" The most common kinds are:",What are the different types of vaginitis?,Sexual Conditions
Painful intercourse in men usually has physical causes such as:,What causes painful intercourse in men?,Sexual Conditions
"The CDC suggests getting the shingles vaccine Shingrix (RZV) if you're a healthy adult ages 50 or older. It was approved in 2017 and has been found to be more than 90% effective effective in preventing shingles and the complications caused by the disease. Even if you've already had shingles, the CDC says the vaccine can help prevent a second round of it. Shingrix is preferred over an earlier vaccine, Zostavax. You should also get it if you have previously had had the Zostravax vaccine.",Does the vaccine help prevent shingles?,Shingles
Experts don't know exactly how many people get shingles more than once. They do know it comes back more often in people with weakened immune systems.,How often does shingles return?,Shingles
"Shingles is likely to return in a different part of your body. In general, the rash is most common on the torso or face, so if you've had it on the right side of your stomach, it might come back on the left side - or on your face, chest, neck, or back.",Does shingles come back in the same place?,Shingles
"See your doctor at the first sign of shingles. Getting treated early can help it go away faster and may help you avoid related problems. For instance, shingles on the face can cause hearing or sight problems, including blindness. Early treatment can also help prevent or ease pain.",When should I see a doctor about shingles?,Shingles
Yes. You can spread the virus that causes it (and chickenpox) to people who’ve never had chickenpox and haven’t been vaccinated for shingles.,Is shingles contagious?,Shingles
"Varicella zoster is a virus. It causes chickenpox, also called varicella and shingles, called herpes zoster.",What is varicella zoster?,Shingles
Things that make it more likely include:,Who gets shingles?,Shingles
You shouldn’t get the shingles vaccine if:,Who should not get the shingles vaccine?,Shingles
It’s approved for people as young as 50. The CDC recommends it for everyone 60 and older who doesn’t have a medical reason to skip it.,Who should get the shingles vaccine?,Shingles
"The shingles vaccine Shingrix (RZV) can roughly cut by more than 90%your chances of getting shingles, a painful skin rash caused by the same virus that causes chickenpox. It is prefered over Zostavax, an earlier vaccine, which is about 50% effective in peopl 60 years or older.",What should I know about the shingles vaccine?,Shingles
Yes. The virus stays inactive in your body long after you’ve had chickenpox and can flare up as shingles.,Do I still need the shingles vaccine if I've had chickenpox in the past?,Shingles
"Do gentle exercises, such as walking or stretching. Light activity can help take your mind off the pain. Keep it simple though, and check with your doctor if you’re trying something new.",Is it OK to exercise when you have shingles?,Shingles
"Run a washcloth under cool water and place it on your blisters for about 20 minutes at a time. Not only can this relieve itching, it also keeps your blisters clean. That helps you avoid a skin infection.",Are cold compresses good for shingles?,Shingles
"You can’t make an outbreak of shingles go away any faster, but you can find relief from the pain and itching that the rash causes and make yourself more comfortable.",What can you do to relieve shingles symptoms?,Shingles
"If you've had shingles once, you probably won’t get it again.",Will my shingles come back?,Shingles
You're more likely to get shingles again if:,Who is most likely to get shingles again?,Shingles
Shingles causes inflammation and pain. Your doctor can suggest over-the-counter medicines to relieve milder discomfort. They include:,What over-the-counter medications can treat shingles?,Shingles
Don’t get the Shingrix vaccine if:,Who shouldn't get the shingles vaccine?,Shingles
"Yes. It may help prevent you having another bout of shingles later on. If you have shingles right now, you should  wait until the rash is gone before you get vaccinated.",Should I still get the shingles vaccine if I've already had shingles?,Shingles
"If you have severe pain after the rash clears or an infection during your shingles outbreak, your doctor might prescribe:",What other prescriptions can treat shingles?,Shingles
"The most common side effects with Shingrix include pain and swelling where you got the shot, muscle pain, tiredness, headache, chills, fever, and stomach troubles. With any vaccine there is a chance of a severe allergic reaction. Also since  Zostavax is a live virus vaccine, it is also possible to get a small chicken-pox like rash around the spot where you got the shot.",What are the side effects of the shingles vaccine?,Shingles
